Parameter  optmized   measured
An1      0.530E+00   0.185E+01
Bn1      0.731E-01   0.167E+00
Apm      0.477E-02   0.142E-02
Bpm      0.378E-04   0.766E-04
Cpm      0.260E+00   0.577E+00
Dpm      0.119E+01   0.213E+01
kext     0.580E+00   0.580E+00
OBS =       0.0000750047
*************************************************************
CH2O measured and estimated x RFA 
   12.9341     56.3714     56.3715
   13.1820     56.8809     56.8811
    5.7174     35.7904     35.7889
    8.9239     46.6071     46.6064
   13.0031     56.5139     56.5141
   14.9546     60.2790     60.2795
    6.7771     39.7701     39.7688
    9.1232     47.1737     47.1730
    6.9293     40.3047     40.3034
    6.5324     38.8920     38.8907
    9.2226     47.4526     47.4519
   11.0726     52.2289     52.2286
   14.6884     59.7945     59.7950
   12.1802     54.7636     54.7636
   12.2033     54.8142     54.8142
    8.7953     46.2362     46.2354
   11.4978     53.2279     53.2277
    9.3012     47.6713     47.6706
    7.3738     41.8189     41.8178
    7.6318     42.6668     42.6657
    6.3062     38.0593     38.0579
   12.8323     56.1593     56.1595
   12.8317     56.1580     56.1581
   11.6357     53.5447     53.5445
   14.7962     59.9917     59.9922
    7.5231     42.3122     42.3111
   11.6037     53.4714     53.4712
    8.5052     45.3826     45.3818
   13.4893     57.5001     57.5004
   11.9048     54.1535     54.1534
    9.2786     47.6087     47.6080
   13.1091     56.7320     56.7322
   11.2523     52.6551     52.6549
   14.8925     60.1667     60.1673
   11.2238     52.5881     52.5878
   14.2961     59.0644     59.0648
    7.7397     43.0148     43.0137
   13.3975     57.3167     57.3169
   12.9501     56.4044     56.4046
   11.1618     52.4412     52.4410
   10.1811     50.0201     50.0196
   14.8190     60.0332     60.0337
   11.6033     53.4706     53.4705
    5.0835     33.1679     33.1663
    9.1502     47.2498     47.2491
   11.6711     53.6256     53.6255
    8.2133     44.5003     44.4994
   10.3227     50.3819     50.3814
   12.5894     55.6473     55.6474
   14.1435     58.7752     58.7755
    5.4670     34.7783     34.7767
    7.5382     42.3617     42.3606
    6.8418     39.9985     39.9972
   11.6459     53.5681     53.5679
   14.0480     58.5926     58.5930
   13.0399     56.5899     56.5901
   11.5132     53.2633     53.2631
   10.0861     49.7749     49.7744
   12.6704     55.8191     55.8192
    9.2670     47.5762     47.5755
   13.0160     56.5407     56.5408
   14.1013     58.6946     58.6949
   11.8096     53.9396     53.9395
   13.0938     56.7006     56.7008
   13.7214     57.9592     57.9595
    8.7595     46.1318     46.1310
   10.2146     50.1061     50.1057
   13.0385     56.5869     56.5871
    6.5401     38.9199     38.9186
    5.8945     36.4888     36.4873
    7.8041     43.2210     43.2200
    8.2322     44.5581     44.5572
    7.5250     42.3185     42.3174
    7.3045     41.5872     41.5861
   10.5293     50.9021     50.9017
    9.8020     49.0298     49.0292
    8.9408     46.6555     46.6547
    6.9207     40.2749     40.2737
   14.2453     58.9685     58.9689
    5.2565     33.9034     33.9019
    5.0913     33.2014     33.1998
   13.0787     56.6696     56.6698
    6.5731     39.0397     39.0384
   13.0068     56.5216     56.5217
    9.5679     48.4023     48.4017
    6.4460     38.5762     38.5748
   12.2143     54.8383     54.8383
   13.2082     56.9343     56.9345
   12.3771     55.1922     55.1922
    9.3568     47.8251     47.8244
   12.4856     55.4257     55.4258
    8.6934     45.9390     45.9382
   13.2234     56.9651     56.9653
    8.3777     45.0003     44.9994
   11.4558     53.1307     53.1305
    8.9233     46.6055     46.6047
    8.7622     46.1399     46.1391
   12.3770     55.1920     55.1920
   13.9672     58.4372     58.4376
    8.4622     45.2541     45.2532
