*--Photosyntheically active radation and daily gross photosynthesis--
*Generated by input_rfa_pb.f90 program on 16/03/2022 at 13:34:36
*----------------------
   RFA           PB  
* MJ/m2/d   g CO2/m2 --
12.9341497    56.37137
13.1820149    56.88091
 5.7173676    35.79041
 8.9238985    46.60712
13.0030532    56.51393
14.9545681    60.27895
 6.7770966    39.77008
 9.1231825    47.17368
 6.9292558    40.30468
 6.5324045    38.89198
 9.2226198    47.45259
11.0726048    52.22890
14.6884463    59.79448
12.1802055    54.76362
12.2033109    54.81424
 8.7953432    46.23616
11.4978377    53.22790
 9.3012108    47.67129
 7.3738134    41.81892
 7.6318234    42.66678
 6.3062106    38.05930
12.8322967    56.15934
12.8316536    56.15799
11.6356913    53.54467
14.7962291    59.99173
 7.5231160    42.31223
11.6036529    53.47135
 8.5052135    45.38265
13.4892524    57.50011
11.9048375    54.15351
 9.2786487    47.60867
13.1091366    56.73203
11.2522780    52.65510
14.8925113    60.16674
11.2238408    52.58805
14.2961231    59.06441
 7.7396818    43.01479
13.3975321    57.31667
12.9501082    56.40445
11.1617962    52.44123
10.1811267    50.02010
14.8189944    60.03321
11.6033260    53.47060
 5.0835207    33.16788
 9.1502445    47.24983
11.6711448    53.62559
 8.2133364    44.50029
10.3227280    50.38187
12.5893995    55.64728
14.1435079    58.77515
 5.4670287    34.77827
 7.5382222    42.36173
 6.8418006    39.99846
11.6459216    53.56805
14.0480156    58.59262
13.0399239    56.58992
11.5131713    53.26330
10.0860941    49.77488
12.6704141    55.81908
 9.2669544    47.57616
13.0160142    56.54067
14.1012639    58.69455
11.8096395    53.93960
13.0937880    56.70058
13.7213999    57.95917
 8.7594621    46.13184
10.2146445    50.10612
13.0384631    56.58692
 6.5400913    38.91992
 5.8944504    36.48876
 7.8041437    43.22101
 8.2322252    44.55813
 7.5250356    42.31852
 7.3044624    41.58723
10.5293155    50.90208
 9.8019551    49.02978
 8.9407649    46.65547
 6.9207163    40.27491
14.2453157    58.96845
 5.2564878    33.90344
 5.0913248    33.20140
13.0787070    56.66964
 6.5731133    39.03967
13.0067653    56.52159
 9.5679271    48.40227
 6.4459611    38.57619
12.2143104    54.83831
13.2082482    56.93431
12.3771056    55.19219
 9.3568039    47.82508
12.4856320    55.42573
 8.6934448    45.93900
13.2234067    56.96512
 8.3777324    45.00026
11.4558159    53.13066
 8.9233383    46.60551
 8.7622322    46.13991
12.3770183    55.19200
13.9671972    58.43721
 8.4621843    45.25409
*--------------------
An1 =    1.85000
Bn1 =    0.16700
Apm =    0.00142
Bpm = 0.76560E-04
Cpm =    0.57740
Dpm =    2.13000
coTF =    0.41000
alpha = 0.10880E-04
Kext =    0.58000
IAF =    3.00000
